GEOID,county_name,state_name,pct_seasonal_employment,pct_seasonal_housing,total_popE,cluster_name
01001,Autauga County,Alabama,26.071509562325197,0.8564335953661564,58239,Non-Seasonal
01003,Baldwin County,Alabama,30.727715538236726,8.473838522375434,227131,Non-Seasonal
01005,Barbour County,Alabama,27.100815506441318,6.514099597154368,25259,Non-Seasonal
01007,Bibb County,Alabama,24.44333249937453,1.9305447686674804,22412,Non-Seasonal
01009,Blount County,Alabama,23.802157371017643,1.1619847514983488,58884,Non-Seasonal
01011,Bullock County,Alabama,21.405750798722046,7.4524546660769575,10386,Non-Seasonal
01013,Butler County,Alabama,27.927204603238327,1.4834383255435888,19181,Non-Seasonal
01015,Calhoun County,Alabama,27.325389626453365,1.6267510167193855,116425,Non-Seasonal
01017,Chambers County,Alabama,22.537102948089448,6.298302196799124,34834,Non-Seasonal
01019,Cherokee County,Alabama,25.558441558441558,18.888285597936743,24975,Mixed Seasonal
01021,Chilton County,Alabama,26.961678832116785,3.0195290359148763,44857,Non-Seasonal
01023,Choctaw County,Alabama,33.521955636034406,4.220415030846887,12792,Non-Seasonal
01025,Clarke County,Alabama,30.159744408945688,9.925347811333559,23346,Non-Seasonal
01027,Clay County,Alabama,21.044776119402986,3.609644742473962,14184,Non-Seasonal
01029,Cleburne County,Alabama,22.916666666666664,2.1937573616018846,15046,Non-Seasonal
01031,Coffee County,Alabama,25.922967696130634,1.8927049385810981,53043,Non-Seasonal
01033,Colbert County,Alabama,26.899634295002034,2.3894384637765493,56789,Non-Seasonal
01035,Conecuh County,Alabama,24.919812484579325,4.312876797031999,11778,Non-Seasonal
01037,Coosa County,Alabama,29.911373707533233,13.588390501319262,10442,Non-Seasonal
01039,Covington County,Alabama,26.970344643334226,3.693563107317335,37490,Non-Seasonal
01041,Crenshaw County,Alabama,23.938297467149113,2.827017114914425,13300,Non-Seasonal
01043,Cullman County,Alabama,28.29924792188943,3.7932010602434443,87129,Non-Seasonal
01045,Dale County,Alabama,27.890291064522692,1.5796401930671347,49443,Non-Seasonal
01047,Dallas County,Alabama,23.25101465226663,2.952145821295372,39162,Non-Seasonal
01049,DeKalb County,Alabama,23.43617129834348,2.9758214507129574,71554,Non-Seasonal
01051,Elmore County,Alabama,26.73540439207284,5.822923816060398,87146,Non-Seasonal
01053,Escambia County,Alabama,36.993628569181155,1.4995201535508638,36879,Non-Seasonal
01055,Etowah County,Alabama,29.931972789115648,0.6232964989752583,103468,Non-Seasonal
01057,Fayette County,Alabama,27.027027027027028,3.1010719754977027,16365,Non-Seasonal
01059,Franklin County,Alabama,19.259830377794913,2.3043790380473794,32034,Non-Seasonal
01061,Geneva County,Alabama,27.19048087324221,3.281312525010004,26604,Non-Seasonal
01063,Greene County,Alabama,16.691285081240768,19.82337903788055,7851,Non-Seasonal
01065,Hale County,Alabama,33.19045844204249,14.618701158717325,14819,Non-Seasonal
01067,Henry County,Alabama,30.80872913992298,9.340841338191455,17165,Non-Seasonal
01069,Houston County,Alabama,30.15429338103757,1.1789946873722927,106355,Non-Seasonal
01071,Jackson County,Alabama,23.530923859955784,2.602773047920214,52548,Non-Seasonal
01073,Jefferson County,Alabama,24.563212692117006,0.4713806902963847,672550,Non-Seasonal
01075,Lamar County,Alabama,21.072944808954073,0.5349099099099099,13929,Non-Seasonal
01077,Lauderdale County,Alabama,31.37041339916739,2.9015450952209845,93342,Non-Seasonal
01079,Lawrence County,Alabama,24.33733155634533,1.64257555847569,33089,Non-Seasonal
01081,Lee County,Alabama,25.124505171753285,5.8158978751172565,172223,Non-Seasonal
01083,Limestone County,Alabama,24.466744766914967,1.5370618655429995,101217,Non-Seasonal
01085,Lowndes County,Alabama,26.73543350989685,6.165942478791641,10334,Non-Seasonal
01087,Macon County,Alabama,25.896082245068076,5.607187112763321,19490,Non-Seasonal
01089,Madison County,Alabama,22.69552359188063,0.4551439005355685,382149,Non-Seasonal
01091,Marengo County,Alabama,25.76376179079262,9.614213197969542,19397,Non-Seasonal
01093,Marion County,Alabama,21.124889282550928,2.29283136366853,29392,Non-Seasonal
01095,Marshall County,Alabama,23.56735861843922,2.9079238493520387,97179,Non-Seasonal
01097,Mobile County,Alabama,27.263090581233907,1.0514716260083161,414620,Non-Seasonal
01101,Montgomery County,Alabama,24.421867244715013,0.7199992391025214,229072,Non-Seasonal
01103,Morgan County,Alabama,27.039864291772687,0.49353878612063445,122608,Non-Seasonal
01105,Perry County,Alabama,30.95446584938704,9.19940328194928,8702,Non-Seasonal
01107,Pickens County,Alabama,21.302921884317232,6.923781185626002,19240,Non-Seasonal
01109,Pike County,Alabama,27.78031687995125,1.9363328737937087,33176,Non-Seasonal
01111,Randolph County,Alabama,26.280029119145837,12.803496277112334,21984,Non-Seasonal
01113,Russell County,Alabama,26.35685067262683,1.0139975752231898,58695,Non-Seasonal
01115,St. Clair County,Alabama,21.701912118526025,1.7927810682319194,90412,Non-Seasonal
01117,Shelby County,Alabama,25.34908797651302,1.3844936708860758,220780,Non-Seasonal
01119,Sumter County,Alabama,34.00752587017874,5.347003154574133,12482,Non-Seasonal
01121,Talladega County,Alabama,26.270620768570613,4.025854108956603,81850,Non-Seasonal
01123,Tallapoosa County,Alabama,24.349489795918366,14.940494624607354,41284,Non-Seasonal
01125,Tuscaloosa County,Alabama,26.122448979591837,9.497689371107093,223945,Non-Seasonal
01127,Walker County,Alabama,35.241011772192174,1.9107433622437113,65194,Non-Seasonal
01129,Washington County,Alabama,22.812024353120243,12.151931220325933,15574,Non-Seasonal
01131,Wilcox County,Alabama,30.245683930942896,9.48340874811463,10686,Non-Seasonal
01133,Winston County,Alabama,26.245882477951334,14.216922724145839,23650,Non-Seasonal
02013,Aleutians East Borough,Alaska,17.51173708920188,10.69182389937107,3409,Non-Seasonal
02016,Aleutians West Census Area,Alaska,23.724060572069547,14.560439560439562,5251,Non-Seasonal
02020,Anchorage Municipality,Alaska,27.097151905050197,1.633137097115751,292545,Non-Seasonal
02050,Bethel Census Area,Alaska,20.104397342613098,11.899198931909211,18514,Non-Seasonal
02063,Chugach Census Area,Alaska,30.14831717056475,15.416436845008274,7015,Mixed Seasonal
02066,Copper River Census Area,Alaska,26.23106060606061,46.59940209267563,2635,Vacation Destinations
02070,Dillingham Census Area,Alaska,27.556818181818183,28.6783042394015,4899,Mixed Seasonal
02090,Fairbanks North Star Borough,Alaska,24.407128876068818,5.264753907161185,97149,Non-Seasonal
02105,Hoonah-Angoon Census Area,Alaska,33.76623376623377,33.78457916421424,2327,Vacation Destinations
02110,Juneau City and Borough,Alaska,22.8358576529984,1.937513405304926,32240,Non-Seasonal
02122,Kenai Peninsula Borough,Alaska,32.604365507511,18.746528420662838,58711,Mixed Seasonal
02130,Ketchikan Gateway Borough,Alaska,27.19611484073704,6.185252894576478,13939,Non-Seasonal
